,food,amount,cals,protein,carbs,fat
457,pastelera,0.0,1.3459107,0.038637802,0.2523684,0.024975944
458,sopa cuatro quesos,0.0,3.6666667,0.0,0.56666666,0.0
459,picadita,0.0,3.0121746,0.13622174,0.018826086,0.28913045
460,jugo limon,0.0,0.25,0.0038,0.0863,0.0
461,pizza muzzarella,0.0,2.1964285,0.098214,0.2857,0.07142857
462,porcion fugga,0.0,2.14,0.0665,0.352,0.0496
463,medallon esp,0.0,0.96,0.030666666,0.18666667,0.0
464,medallon espinaca,0.0,0.96,0.030666666,0.18666667,0.0
465,bife americano,0.0,1.5,0.21,0.0,0.08
466,free,0.0,1.0,1.0,1.0,1.0
467,canela,0.0,2.61,0.0389,0.7985,0.0319
468,harina integral,0.0,3.39,0.137,0.7257,0.0187
469,torta banana zapallito,0.0,1.0249144,0.05074493,0.16448753,0.019764105
470,queso crema light,0.0,1.1,0.05666667,0.1,0.053333335
471,polena presto cruda,0.0,3.4,0.07,0.78,0.008
472,budin chocolate aguila,0.0,3.3651612,0.050537635,0.36639786,0.06317204
473,polenta presto cruda,0.0,3.4,0.07,0.78,0.008
474,polenta presto,0.0,1.2403824,0.030866142,0.24419291,0.019704724
475,entraña,0.0,2.2,0.26,0.0,0.12
476,entrania,0.0,2.2,0.26,0.0,0.12
477,mock food,0.0,1.0,1.0,1.0,1.0
478,pure papa,0.0,0.9942821,0.029441748,0.15156554,0.035863776
479,pan rallado morixe,0.0,2.8666666,0.09,0.6333333,0.0
480,tortilla arveja,0.0,2.151356,0.08568039,0.3696368,0.023523003
481,bocadito arveja pan rallado,0.0,1.992793,0.08364384,0.36490107,0.01989726
482,acelga,0.0,0.19,0.018,0.0374,0.002
483,tortilla acelga,0.0,1.5694582,0.060934536,0.2634632,0.020690745
484,torti acel,0.0,1.5694582,0.060934536,0.2634632,0.020690745
485,empanada roquefort,0.0,3.04,0.0991,0.2307,0.1896
486,pure zanahoria lata aceite manteca huevo,0.0,0.782906,0.020940172,0.04076923,0.052051283
487,guiso carne mama,0.0,0.67644423,0.051407874,0.08357588,0.01913401
488,tarta kevin,0.0,0.9556443,0.035913546,0.16115274,0.016205763
489,palito salado queso pehuamar,0.0,5.16,0.072,0.56,0.292
490,chocolate arcor cofler air,0.0,5.6,0.077,0.54,0.35
491,cheetos,0.0,4.76,0.068,0.64,0.212
492,toddy,0.0,4.4333334,0.05666667,0.6,0.20333333
493,stacker doble power bk,0.0,3.7542858,0.17142858,0.21714285,0.22285715
494,arandano,0.0,0.57,0.0074,0.1449,0.0033
495,flan royal sin preparar,0.0,3.75,0.0,1.0,0.0
496,flan royal,0.0,0.5896226,0.032075472,0.100943394,0.014150944
497,legui,0.0,3.494737,0.0,0.021052632,0.0
498,postre rosarino,0.0,1.9609538,0.02752149,0.23069878,0.07380969
499,guiso tomate cebolla papa,0.0,0.42042062,0.015175292,0.088247076,0.00025041736
500,zucaritas kellog,0.0,3.8666666,0.036666665,0.93333334,0.0
501,palito salado poph,0.0,5.36,0.069,0.46,0.36
502,espinaca,0.0,0.23,0.0286,0.0363,0.0039
503,vino blanco,0.0,0.8,0.0,0.0,0.0
504,torta rosario sept2021,0.0,1.4139504,0.025800865,0.17425558,0.06324676
505,mermelada emeth,0.0,2.5,0.0,0.65,0.0
506,almendrado,0.0,2.5166,0.075,0.2666,0.12666
507,tricolor,0.0,2.3666,0.0333,0.25,0.135
508,cerdo,0.0,2.71,0.2734,0.0,0.1704
509,cuadril,0.0,1.52,0.19694656,0.0,0.1339
510,milagrosa,0.0,3.05,0.1375,0.3125,0.1375
511,salsa cebolla tomate,0.0,0.4398493,0.0114,0.079,0.0004
512,hongo,0.0,0.22,0.031,0.033,0.003
513,hongo ceb,0.0,0.3753462,0.019888889,0.064666666,0.0018888889
514,vino tinto,0.0,0.85,0.0,0.0,0.0
515,arandanos,0.0,0.57,0.0074,0.1449,0.0033
516,arroz integral crudo,0.0,3.62,0.08,0.78,0.008
517,arroz integral,0.0,1.8692871,0.041310214,0.40277457,0.004131021
518,lata atun en aceite y agua ciudad del lago,0.0,2.0333333,0.2,0.0,0.13333334
519,gelatina light exquisita polvo,0.0,2.3333333,0.56666666,0.0,0.0
520,gelatina light exquisita,0.0,0.05691057,0.013821138,0.0,0.0
521,chocolate aguila,0.0,5.142857,0.07380953,0.49761903,0.33095238
522,fideo lucchetti tirabuzon crudo,0.0,3.2875,0.11,0.6875,0.01
523,cindor,0.0,0.7,0.031,0.12,0.0105
524,yougr manzana durazo ser,0.0,0.49714285,0.037142858,0.06285714,0.0108571425
525,caesar tau,0.0,4.75,0.0,0.0,0.5083333
526,pan dulce sin frutas dia,0.0,3.6125,0.06375,0.5125,0.15
527,turron de mani dia,0.0,4.1,0.055,0.8,0.07
528,pan dulce con frutas dia,0.0,3.3,0.0525,0.5875,0.085
529,guiso calamar cebolla,0.0,0.66,0.086,0.0035,0.032
530,almibar coto,0.0,1.2,0.0,0.3,0.0
531,durazno,0.0,0.39,0.0091,0.0954,0.0025
532,pan dulce con chocolate dia,0.0,3.65,0.07875,0.4625,0.1625
533,medallon mediterraneo veggie,0.0,2.8111112,0.094444446,0.5222222,0.03888889
534,palmito,0.0,0.26153848,0.022307692,0.042307694,0.0
535,pionono con crudo,0.0,2.013824,0.11110396,0.123661384,0.1108401
536,pionono basico,0.0,1.9771402,0.08964375,0.14365375,0.09847
537,pionono con palmito,0.0,1.7804886,0.09255088,0.13442418,0.07426087
538,pionono con palmito y crudo,0.0,1.820841,0.10132463,0.114701726,0.098633036
539,arcor mani con chocolate,0.0,5.0333333,0.13333334,0.53333336,0.26333332
540,salsa cheddar tau,0.0,3.6666667,0.0,0.041666668,0.40833333
541,matambre,0.0,2.15,0.1867,0.0,0.1501
542,mani,0.0,5.67,0.26,0.16,0.49
543,chinchulin,0.0,2.2,0.14,0.0,0.08
544,picaña,0.0,0.0,0.1968,0.0,0.1339
