,food,amount,cals,protein,carbs,fat
105,naranja,300.0,0.43072858,0.01,0.04,0.0
106,ciruela,140.0,0.5,0.01,0.11,0.0
107,salchicha,35.0,2.2857144,0.12,0.136,0.12267
108,galletita amor,14.0,4.678571,0.067857146,0.71428573,0.16785714
109,croissant bk,120.0,2.4833333,0.068333335,0.29666665,0.09
110,pan flauta,36.0,2.61,0.0847,0.515,0.016
111,champagne,80.0,0.676,0.0,0.0,0.0
112,empanada frita carne,130.0,2.93,0.0739,0.2247,0.1916
113,empanada frita,130.0,2.93,0.0739,0.2247,0.1916
114,nuez,5.75,6.0,0.1523,0.1371,0.6521
115,te grande,340.0,0.0,0.0,0.0,0.0
116,morcilla,100.0,3.79,0.146,0.0129,34.5
117,mila napo,500.0,2.24,0.2113,0.1215,0.095
118,te,250.0,0.0,0.0,0.0,0.0
119,rocklet,1.5,4.88,0.0,0.0,0.0
120,salchichas,30.0,2.0,0.12,0.136,0.12267
121,huevo frito sin aceite,50.0,1.6333333,0.13,0.0,0.12
122,whopper extreme doble bk,420.0,2.323,0.13,0.126,0.152
123,chocolate aguila semiamargo,13.0,4.6666665,0.061904762,0.61904764,0.24285714
124,chocolate aguila amargo,21.0,5.6190476,0.08571429,0.37619048,0.41904762
125,fideo lucchetti tirabuzon,220.0,1.4097341,0.047169812,0.2948113,0.0042881644
126,yogur manzana durazo ser,175.0,0.49714285,0.037142858,0.06285714,0.0108571425
127,caldo gallina knorr,9.5,2.7368422,0.0,0.23157895,0.21052632
128,medallon criolla veggie,90.0,2.9555554,0.31666666,0.24444444,0.078888886
129,whopper doble bk,348.0,2.316092,0.11135057,0.14367816,0.14166667
130,whopper extreme bk,322.0,2.3,0.123,0.14,0.148
131,whopper jr bk,143.0,1.9160839,0.082167834,0.18881118,0.09300699
132,rollo pionono dia,150.0,3.15,0.095,0.55,0.021666666
133,medialuna,32.0,4.425,0.085,0.3925,0.275
134,pizza pal,0.0,2.447619,0.0,0.0,0.0
135,pechuga herv,0.0,1.51,0.28670588,0.0,0.0303
136,vitina,0.0,0.4074074,0.0,0.0,0.0
137,postre chino,0.0,2.2142856,0.0,0.0,0.0
138,chocolate,0.0,5.5,0.05,0.61,0.31
139,bocad acelga,0.0,0.5,0.0,0.0,0.0
140,garra,0.0,4.8333335,0.0,0.0,0.0
141,pasa uva,0.0,2.9565217,0.0307,0.7918,0.0046
142,aji,0.0,0.16666667,0.01,0.05,0.0
143,vainilla,0.0,3.1752577,0.0,0.0,0.0
144,kiwi,0.0,0.6111111,0.01,0.15,0.0
145,chichu,0.0,0.6666667,0.12,0.0,0.0512
146,dulce de leche,0.0,3.2195122,0.07,0.5,0.07
147,bolognesa,0.0,1.0,0.0,0.0,0.0
148,tomate relleno,0.0,0.36585367,0.0,0.0,0.0
149,cremon,0.0,3.5735295,0.1433,0.01,0.33
150,torta rosario,0.0,2.0954545,0.0,0.0,0.0
151,mayonesa,0.0,2.5092592,0.0,0.1,0.1583
152,ketchup,0.0,1.1774193,0.0,0.253,0.0
153,pan dulce choco,0.0,4.1363635,0.0,0.0,0.0
154,aros,0.0,1.5384616,0.0,0.0,0.0
155,pan dulce fru,0.0,3.8067226,0.0,0.0,0.0
156,chotorta mezcla,0.0,2.75,0.0,0.0,0.0
157,pizza nap,0.0,2.4318182,0.0,0.0,0.0
158,pan casero,0.0,2.5,0.0,0.0,0.0
159,licuados,0.0,1.6078432,0.02,0.156,0.00786
160,papa mccain,0.0,1.1,0.0195,0.2053,0.0243
161,morron,0.0,0.2994012,0.0095,0.0566,0.0023
162,bondiola,0.0,2.6471074,0.1914,0.0,0.2036
163,brocoli,0.0,0.34615386,0.03,0.03,0.0
164,pure zapallo,0.0,0.75,0.0,0.0,0.0
165,pringles,0.0,4.6666665,0.0,0.0,0.0
166,nesquick,0.0,3.8323352,0.0538,0.7857,0.0
167,carne ceb,0.0,1.1840278,0.0,0.0,0.0
168,pionono pal,0.0,1.5222223,0.0,0.0,0.0
169,aros de cebolla,0.0,1.5,0.0,0.0,0.0
170,arroz blanco,0.0,1.3026316,0.07,0.76,0.0
171,ciruela pasa,0.0,2.5714285,0.0218,0.6388,0.0038
172,chuchi miel,0.0,3.0,0.0,0.0,0.0
173,arroz,0.0,1.1771948,0.0263,0.76,0.02
174,chori fino,0.0,3.3333333,0.1372,0.0285,0.1372
175,gall vainill,0.0,4.4444447,0.0,0.0,0.0
176,papas,0.0,0.8,0.0243,0.2053,0.022
177,cremon light,0.0,2.357143,0.2067,0.0,0.1667
178,queso cremon,0.0,3.59375,0.1433,0.01,0.33
179,molleja,0.0,2.3295455,0.1442,0.0,0.1442
180,pizza palm,0.0,2.8125,0.0,0.0,0.0
181,bocado acelga,0.0,0.8761062,0.0,0.0,0.0
182,queso rallado,0.0,4.4,0.3846,0.0406,0.2861
183,fideo complet,0.0,2.264706,0.0,0.0,0.0
184,sour cream,0.0,3.3333333,0.0,0.0,0.0
185,cantimpalo,0.0,4.4875,0.215,0.0,0.215
186,mayonesa light,0.0,1.7142857,0.0,0.1,0.1583
187,melon,0.0,0.2857143,0.0084,0.0816,0.0019
188,queso port sal,0.0,2.2,0.2733,0.0067,0.12
189,salsa golf,0.0,2.43,0.0,0.133,0.2083
190,rosario,0.0,2.088372,0.0,0.0,0.0
191,queso raton,0.0,4.2580647,0.2981,0.0036,0.3234
192,leche conden,0.0,2.8333333,0.0,0.0,0.0
193,almendra,0.0,6.5,0.2126,0.1974,0.5464
194,crema leche,0.0,3.2816365,0.02,0.0267,0.36
195,papitas,0.0,0.9382716,0.0243,0.2053,0.022
196,mortadela,0.0,2.5769231,0.1027,0.031,0.25
197,bocad acelg,0.0,0.5,0.0,0.0,0.0
198,papa horn,0.0,1.1,0.0294,0.2053,0.022
199,mila tita,0.0,2.0,0.0,0.0,0.0
200,chichulin,0.0,0.85,0.12,0.0,0.0512
201,casancrem,0.0,1.3,0.0,0.0,0.0
202,gall agua,0.0,3.5,0.0,0.0,0.0
203,matamuslo her,0.0,1.6988417,0.2,0.0,0.075
204,helado,0.0,1.7926829,0.0,0.0,0.0
205,miel,0.0,3.0,0.0038,0.8,0.0
206,casamcrem r,0.0,2.4,0.06,0.063,0.2067
207,guiso salchi,0.0,1.0,0.0,0.0,0.0
208,salsa,0.0,0.24590164,0.0,0.0,0.0
209,lenteja,0.0,0.7881356,0.2463,0.22,0.01
210,hamburguesa,0.0,2.0,0.1651,0.0,0.1875
211,casamcream,0.0,1.3,0.0,0.0,0.0
212,manteca,0.0,7.5142856,0.01,0.0,0.82
213,jamon cocido,0.0,1.2727273,0.1813,0.1,0.11
214,galletita,0.0,4.0,0.0,0.0,0.0
215,papa rellena,0.0,0.77272725,0.0,0.0,0.0
216,casamcrem rojo,0.0,2.33,0.06,0.063,0.2067
217,alfajor,0.0,4.035714,0.0,0.0,0.0
218,picanha,0.0,1.52,0.19694656,0.0,0.1339
219,mermelada l,0.0,1.5918367,0.0,0.0,0.0
220,carne,0.0,1.496292,0.26,0.0,0.15
221,terrabusi,0.0,4.785714,0.0,0.0,0.0
222,fideo,0.0,1.55,0.0576,0.3068,0.0092
223,nachos,0.0,4.9259257,0.0,0.0,0.0
224,kepchup,0.0,1.0,0.0,0.253,0.0
225,pan,0.0,2.505747,0.0,0.0,0.0
226,vacio,0.0,2.039666,0.24968685,0.0,0.1236
227,aros cebolla,0.0,1.5,0.0,0.0,0.0
228,pepas,0.0,3.9565217,0.0,0.0,0.0
229,casamcrem,0.0,1.2592592,0.0,0.0,0.0
230,turron miel,0.0,4.428571,0.0,0.0,0.0
231,crema de leche,0.0,3.3255813,0.02,0.0267,0.36
232,guacamole,0.0,1.3,0.0,0.0,0.0
233,panceta,0.0,5.428571,0.1626,0.0015,0.3436
234,galletitas,0.0,4.0,0.0,0.0,0.0
235,tarta atun broc,0.0,1.0,0.0,0.0,0.0
236,pionono hue,0.0,1.7216301,0.0,0.0,0.0
237,crema,0.0,3.5106382,0.0,0.0,0.0
238,mostaza,0.0,1.25,0.0,0.1,0.0
239,chori,0.0,3.3142858,0.1372,0.02585,0.1372
240,lomo,0.0,2.0,0.29010016,0.0,0.1054
241,caballa aceite,0.0,2.6006944,0.2,0.0,0.1133
242,repollo,0.0,0.3181818,0.02,0.04,0.0
243,pan blanco,0.0,2.2564104,0.0,0.0,0.0
244,patitas,0.0,2.8421052,0.0,0.0,0.0
245,rosario cafe,0.0,3.0,0.0,0.0,0.0
246,mantecol,0.0,5.111588,0.15,0.47,0.31
247,aros ceb,0.0,1.5,0.0,0.0,0.0
248,leche cafe,0.0,0.40358743,0.034,0.047,0.015
249,queso rayado,0.0,4.4,0.3836,0.0406,0.2861
250,clericot,0.0,0.65625,0.0,0.0,0.0
251,provoleta,0.0,3.3444445,0.2733,0.0433,0.24
252,papita mama,0.0,2.2580645,0.0,0.0,0.0
253,vainillas,0.0,3.7083333,0.0,0.0,0.0
254,huevo,0.0,1.5,0.13,0.0,0.12
255,tarta atun,0.0,1.0063341,0.2,0.0,0.0
256,bolls,0.0,4.71223,0.0,0.0,0.0
257,carbonara,0.0,2.7319589,0.0,0.0,0.0
258,cheddar bacon,0.0,2.6666667,0.0,0.0,0.0
259,spaghetti,0.0,1.5607288,0.0576,0.3068,0.0092
260,merluza,0.0,1.6,0.2138,0.0,0.02
261,queso maquina,0.0,3.07,0.1421,0.0409,0.2128
262,pan lila,0.0,2.7238805,0.0,0.0,0.0
263,sardina,0.0,1.3333334,0.2462,0.0,0.1145
264,salame,0.0,2.5813954,0.1392,0.024,0.26
265,calabaza,0.0,0.24603175,0.01,0.05,0.0
266,pan dulce fruta,0.0,3.8444445,0.0,0.0,0.0
267,caju,0.0,5.7272725,0.1822,0.3019,0.4385
268,chocol agui,0.0,5.623377,0.0,0.0,0.0
269,arroz comino,0.0,1.2083334,0.0,0.0,0.0
270,budin,0.0,2.5769231,0.0,0.0,0.0
271,pollo,0.0,1.4346349,0.2,0.0,0.1629
272,anana,0.0,0.85714287,0.004,0.20714286,0.004
273,dulce leche,0.0,3.3512397,0.07,0.5,0.07
274,cheddar,0.0,3.2363636,0.249,0.0128,0.3314
275,maiz dulce,0.0,1.168421,0.0,0.0,0.0
276,chinchu,0.0,0.84,0.12,0.0,0.0512
277,taco guaca,0.0,2.1853547,0.0,0.0,0.0
278,aro cebolla,0.0,1.5,0.0,0.0,0.0
279,batata,0.0,0.8956522,0.01,0.17,0.0
280,mermelada,0.0,1.625,0.0,0.0,0.0
281,flan,0.0,0.63076925,0.0,0.0,0.0
282,shot,0.0,5.0,0.0,0.0,0.0
283,aceite,0.0,7.9597588,0.0,0.0,1.0
284,jamon crudo,0.0,2.0,0.3,0.0,0.13
285,pionono atu,0.0,1.6333333,0.0,0.0,0.0
286,salmon,0.0,1.53,0.2,0.0,0.053
287,zapallo,0.0,0.23214285,0.01,0.05,0.0
288,jugo anana,0.0,2.6,0.0,0.0,0.0
289,roquefort,0.0,3.81,0.22,0.02,0.31
290,manzanas,0.0,0.52,0.0,0.14,0.0
291,taco morron,0.0,2.0,0.0,0.0,0.0
292,apio,0.0,0.14,0.01,0.02,0.0
293,mendicream,0.0,1.3571428,0.0,0.0,0.0
294,coliflor,0.0,0.225,0.02,0.02,0.0
295,queso cheddar,0.0,4.0,0.249,0.0128,0.3314
296,caballa,0.0,2.3370786,0.19438203,0.0,0.1133
297,cereza,0.0,2.7916667,0.01,0.16,0.0
298,jugo naranja,0.0,0.4516129,0.0,0.0,0.0
299,lechon,0.0,2.140845,0.2054,0.0,0.14
300,rapidita,0.0,2.6666667,0.0861,0.4727,0.08
301,rosario coco anana,0.0,2.4,0.0,0.0,0.0
302,alfajor terrabusi,0.0,4.04,0.07,0.6,0.148
303,licuado coco azucar,0.0,1.2332757,0.019913955,0.11469125,0.02592914
304,salmon rosado,0.0,1.53,0.2458,0.0,0.053
305,bola mila,0.0,3.16,0.0,0.0,0.0
306,almibar,0.0,2.6,0.0,0.67,0.0
307,mermelada light arandano,0.0,0.625,0.0,0.0,0.0
308,jugo cereza,0.0,2.6,0.0,0.0,0.0
309,camaron mila,0.0,2.45,0.207,0.0,0.0
310,asado tira,0.0,2.0,0.2755,0.0,0.4198
311,mila tita pollo,0.0,2.3,0.28,0.0,0.0
312,sococo,0.0,2.53,0.0,0.0,0.0
313,bolo mila,0.0,3.16,0.0,0.0,0.0
314,palta,0.0,1.6,0.02,0.05,0.15
315,jardineras,0.0,0.60136676,0.0,0.0,0.0
316,colita cuadril,0.0,1.5375,0.1975,0.0,0.05
317,mejillon lata,0.0,1.2403846,0.18365385,0.01,0.022
318,caballa natural,0.0,1.8842975,0.2,0.0,0.1833
319,papa hervida,0.0,0.775,0.03,0.18,0.0
320,arroz leche,0.0,1.2807273,0.0,0.0,0.0
321,caritas,0.0,1.0,0.024,0.26,0.062
322,pan pancho,0.0,2.7777777,0.0,0.0,0.0
323,pepino,0.0,0.2,0.01,0.02,0.0
324,pechuga pollo hervida,0.0,1.51,0.28875,0.0,0.0303
325,azucar,0.0,4.0,0.0,1.0,0.0
326,empanada pesacaderia,0.0,1.5,0.2,0.0,0.0
327,tarta jamon queso,0.0,2.1,0.0,0.0,0.0
328,soda,0.0,0.0,0.0,0.0,0.0
329,picante,0.0,0.0,0.0,0.0,0.0
330,sal,0.0,0.0,0.0,0.0,0.0
331,turron arcor barra,0.0,3.92,0.068,0.72,0.08
332,queso untable tregar,0.0,1.46,0.13,0.0,0.22
